league,season,team,wins,losses,games,scored,allowed,close_wins,close_losses,close_games
MLB,1920,St. Louis Cardinals,75,79,154,674,681,23,25,48
MLB,1920,San Francisco Giants,86,68,154,682,543,24,21,45
MLB,1920,Oakland Athletics,48,106,154,543,819,16,22,38
MLB,1920,Los Angeles Dodgers,93,61,154,659,527,27,28,55
MLB,1920,Cleveland Guardians,98,56,154,856,642,23,23,46
MLB,1920,Cincinnati Reds,82,71,153,639,569,23,23,46
MLB,1920,Chicago White Sox,96,58,154,794,664,26,16,42
MLB,1920,Boston Red Sox,72,81,153,643,691,24,29,53
MLB,1920,Philadelphia Phillies,62,91,153,565,714,22,24,46
MLB,1920,New York Yankees,95,59,154,837,629,23,18,41
MLB,1920,Minnesota Twins,68,84,152,722,801,21,27,48
MLB,1920,Detroit Tigers,61,93,154,644,824,22,22,44
MLB,1920,Chicago Cubs,75,79,154,619,635,19,23,42
MLB,1920,Baltimore Orioles,76,77,153,796,765,20,18,38
MLB,1920,Pittsburgh Pirates,79,75,154,529,551,29,23,52
MLB,1920,Atlanta Braves,62,90,152,522,669,26,26,52
MLB,1921,Philadelphia Phillies,51,103,154,617,919,25,20,45
MLB,1921,New York Yankees,98,55,153,948,708,15,19,34
MLB,1921,Minnesota Twins,80,73,153,701,735,24,19,43
MLB,1921,Cincinnati Reds,70,83,153,618,649,16,23,39
MLB,1921,Chicago Cubs,64,89,153,668,773,17,27,44
MLB,1921,Baltimore Orioles,81,73,154,835,849,25,15,40
MLB,1921,Atlanta Braves,79,74,153,721,697,29,24,53
MLB,1921,Detroit Tigers,71,82,153,884,849,16,29,45
MLB,1921,Los Angeles Dodgers,77,75,152,667,681,23,24,47
MLB,1921,San Francisco Giants,94,59,153,840,637,22,25,47
MLB,1921,Pittsburgh Pirates,90,63,153,688,591,28,23,51
MLB,1921,Oakland Athletics,53,100,153,651,888,17,31,48
MLB,1921,Cleveland Guardians,94,60,154,925,712,26,13,39
MLB,1921,Chicago White Sox,62,92,154,683,858,25,28,53
MLB,1921,Boston Red Sox,75,79,154,668,696,28,22,50
MLB,1921,St. Louis Cardinals,87,66,153,805,677,29,23,52
MLB,1922,St. Louis Cardinals,85,69,154,863,819,32,21,53
MLB,1922,San Francisco Giants,93,61,154,846,652,30,23,53
MLB,1922,Philadelphia Phillies,57,96,153,731,913,14,24,38
MLB,1922,Minnesota Twins,69,85,154,650,706,22,27,49
MLB,1922,Cleveland Guardians,78,76,154,762,811,18,22,40
MLB,1922,Cincinnati Reds,86,68,154,757,668,23,26,49
MLB,1922,Chicago White Sox,77,77,154,685,685,29,26,55
MLB,1922,Boston Red Sox,61,93,154,598,769,25,21,46
MLB,1922,Los Angeles Dodgers,76,78,154,738,749,26,24,50
MLB,1922,Pittsburgh Pirates,85,69,154,858,729,17,17,34
MLB,1922,Oakland Athletics,65,89,154,700,825,18,20,38
MLB,1922,New York Yankees,94,60,154,758,618,27,19,46
MLB,1922,Detroit Tigers,79,75,154,823,786,23,23,46
MLB,1922,Chicago Cubs,80,74,154,762,799,19,22,41
MLB,1922,Baltimore Orioles,93,61,154,867,643,22,26,48
MLB,1922,Atlanta Braves,53,100,153,595,821,18,22,40
MLB,1923,Cincinnati Reds,91,63,154,708,629,31,19,50
MLB,1923,Chicago Cubs,83,71,154,756,704,26,24,50
MLB,1923,Atlanta Braves,54,100,154,635,797,17,24,41
MLB,1923,Oakland Athletics,69,83,152,651,751,18,15,33
MLB,1923,New York Yankees,98,54,152,823,622,26,15,41
MLB,1923,Los Angeles Dodgers,76,78,154,748,736,18,21,39
MLB,1923,Cleveland Guardians,82,71,153,888,746,21,25,46
MLB,1923,Baltimore Orioles,74,78,152,675,707,18,21,39
MLB,1923,St. Louis Cardinals,79,74,153,745,731,29,21,50
MLB,1923,Pittsburgh Pirates,87,67,154,786,696,18,26,44
MLB,1923,San Francisco Giants,95,58,153,854,679,28,17,45
MLB,1923,Philadelphia Phillies,50,104,154,743,1003,14,29,43
MLB,1923,Minnesota Twins,75,78,153,708,735,24,22,46
MLB,1923,Detroit Tigers,83,71,154,829,739,22,28,50
MLB,1923,Chicago White Sox,69,85,154,683,732,21,30,51
MLB,1923,Boston Red Sox,61,91,152,576,801,24,18,42
MLB,1924,St. Louis Cardinals,65,89,154,740,750,16,26,42
MLB,1924,San Francisco Giants,93,60,153,848,637,18,19,37
MLB,1924,Minnesota Twins,92,62,154,750,608,22,18,40
MLB,1924,Detroit Tigers,86,68,154,836,783,30,21,51
MLB,1924,Cincinnati Reds,83,70,153,649,579,29,21,50
MLB,1924,Chicago White Sox,66,87,153,783,848,19,26,45
MLB,1924,Boston Red Sox,67,87,154,720,796,24,27,51
MLB,1924,Philadelphia Phillies,55,96,151,670,843,19,34,53
MLB,1924,Los Angeles Dodgers,92,62,154,717,679,29,19,48
MLB,1924,Oakland Athletics,71,81,152,685,778,27,22,49
MLB,1924,New York Yankees,89,63,152,795,664,22,21,43
MLB,1924,Cleveland Guardians,67,86,153,755,814,22,28,50
MLB,1924,Chicago Cubs,81,72,153,694,690,23,22,45
MLB,1924,Baltimore Orioles,74,78,152,764,797,20,23,43
MLB,1924,Atlanta Braves,53,100,153,514,792,17,20,37
MLB,1924,Pittsburgh Pirates,90,63,153,724,586,31,21,52
MLB,1925,Oakland Athletics,88,64,152,825,707,22,23,45
MLB,1925,New York Yankees,69,85,154,704,772,21,32,53
MLB,1925,Los Angeles Dodgers,68,85,153,786,866,20,20,40
MLB,1925,Detroit Tigers,81,73,154,896,822,20,19,39
MLB,1925,Cincinnati Reds,80,73,153,690,643,19,26,45
MLB,1925,Chicago Cubs,68,86,154,723,773,18,19,37
MLB,1925,Baltimore Orioles,82,71,153,899,905,26,16,42
MLB,1925,Atlanta Braves,70,83,153,708,802,20,24,44
MLB,1925,St. Louis Cardinals,77,76,153,828,764,15,19,34
MLB,1925,San Francisco Giants,86,66,152,736,702,28,16,44
MLB,1925,Pittsburgh Pirates,95,58,153,912,715,27,20,47
MLB,1925,Philadelphia Phillies,68,85,153,812,930,16,19,35
MLB,1925,Minnesota Twins,96,55,151,823,664,27,11,38
MLB,1925,Cleveland Guardians,70,84,154,776,811,24,28,52
MLB,1925,Chicago White Sox,79,75,154,811,770,18,20,38
MLB,1925,Boston Red Sox,47,105,152,639,922,15,24,39
MLB,1926,St. Louis Cardinals,89,65,154,812,673,19,23,42
MLB,1926,San Francisco Giants,74,77,151,663,668,27,25,52
MLB,1926,Philadelphia Phillies,58,93,151,681,894,16,22,38
MLB,1926,Minnesota Twins,81,69,150,792,751,24,23,47
MLB,1926,Detroit Tigers,79,75,154,787,824,29,20,49
MLB,1926,Cincinnati Reds,87,67,154,734,638,26,18,44
MLB,1926,Chicago White Sox,81,72,153,730,665,20,32,52
MLB,1926,Boston Red Sox,46,107,153,557,830,19,28,47
MLB,1926,Los Angeles Dodgers,71,82,153,614,696,21,21,42
MLB,1926,Oakland Athletics,83,67,150,677,570,28,21,49
MLB,1926,New York Yankees,91,63,154,843,709,30,23,53
MLB,1926,Cleveland Guardians,88,66,154,738,612,20,19,39
MLB,1926,Chicago Cubs,82,72,154,677,597,28,30,58
MLB,1926,Baltimore Orioles,62,92,154,677,840,22,26,48
MLB,1926,Atlanta Braves,66,86,152,622,717,26,28,54
MLB,1926,Pittsburgh Pirates,84,69,153,755,675,22,18,40
MLB,1927,Philadelphia Phillies,51,103,154,676,901,17,28,45
MLB,1927,New York Yankees,110,44,154,966,590,24,19,43
MLB,1927,Minnesota Twins,85,69,154,768,716,27,19,46
MLB,1927,Cleveland Guardians,66,87,153,668,766,23,27,50
MLB,1927,Cincinnati Reds,75,78,153,643,653,31,30,61
MLB,1927,Chicago Cubs,85,68,153,750,661,27,27,54
MLB,1927,Atlanta Braves,60,94,154,647,767,21,30,51
MLB,1927,Baltimore Orioles,59,94,153,720,900,22,24,46
